year,shannon,simpson,effective_names
2008,11.971748811509418,0.9999933582604733,158221.1175013687
2009,12.448325399757515,0.9999960602693359,254823.23807491988
2010,12.541665258736337,0.9999964082393226,279753.81373526127
2011,12.680647866857141,0.999996869201765,321466.2584801567
2012,12.667239400273248,0.9999968052034149,317184.65789248864
2013,12.50236030745801,0.9999962554787429,268971.3930683319
2014,12.699280728941543,0.9999969102248404,327512.24705352983
2015,12.804856348473661,0.9999972374542758,363980.7819824836
2016,12.893526877317832,0.9999974751488264,397729.29014127876
2017,12.927191672857452,0.9999975610455567,411346.6928663998
2018,13.119300695335586,0.9999979847315071,498471.00157882186
2019,13.147786306568372,0.9999980426458828,512874.4239513736
2020,13.349989212369628,0.9999983975835164,627807.7150688219
2021,13.093528997153149,0.999997916800779,485788.6817705568
2022,13.302350604546277,0.9999983114820492,598601.0356660169
2023,13.423722681623664,0.9999982501349344,675847.4619931612
