first_token,count,m,f
ilunga,75206,55377,19829
ngoy,58229,43156,15073
kasongo,53821,39450,14371
ntumba,37248,17930,19318
kambale,35852,35692,160
mbuyi,35662,18260,17402
kavira,34841,137,34704
kasereka,25418,25297,121
kazadi,25305,20598,4707
banza,24864,17000,7864
mutombo,24639,20975,3664
muhindo,23094,22608,486
kahindo,21534,547,20987
kavugho,21277,81,21196
mujinga,20618,3613,17005
ngoyi,20600,15655,4945
ngalula,19943,1449,18494
kapinga,19519,2843,16676
matondo,19170,9557,9613
mumbere,17905,17854,51
mputu,17886,9751,8135
kakule,17448,17351,97
kabeya,17099,15228,1871
nzuzi,16275,7444,8831
mwamba,16052,12479,3573
masika,15851,229,15622
mbombo,15587,3798,11789
nkulu,15523,10659,4864
nsimba,15454,7332,8122
kabamba,15422,12603,2819
mukendi,14640,13772,868
bahati,14361,9956,4405
ngoie,14157,5421,8736
kayembe,14104,12309,1795
kalenga,14094,8924,5170
kahambu,14090,56,14034
kalala,13660,12519,1141
kabongo,13402,11868,1534
kyungu,12086,8078,4008
kanku,11962,6950,5012
mulumba,11545,10824,721
katembo,11338,10709,629
muamba,11265,10566,699
tshibangu,11143,10052,1091
umba,10610,5559,5051
furaha,10255,412,9843
nlandu,10144,5327,4817
neema,9981,366,9615
mbala,9939,7099,2840
monga,9793,6383,3410
