letter,count,share
e,6113649,0.15281065522842155
a,4293840,0.10732452972782794
i,3891451,0.0972668167733045
n,3231744,0.08077744047303337
r,2867358,0.07166961249402057
l,2291019,0.057264019332932445
o,1950028,0.048740949373077914
s,1941426,0.04852594238522583
c,1712626,0.04280708644235721
t,1708841,0.042712480368302316
d,1356507,0.03390589212628014
h,1352948,0.03381693492216882
m,1284734,0.03211192600920186
u,1071605,0.02678476670742018
j,845568,0.02113497194886163
g,707057,0.017672889538447832
p,698377,0.01745593294061523
b,675813,0.01689194576624946
v,500512,0.01251029731502213
y,496208,0.012402718836096838
k,366455,0.009159542633496168
f,351820,0.008793740812150529
z,87079,0.0021765395832563693
q,77023,0.001925189865767353
w,69612,0.00173995192261788
x,64702,0.0016172264738439075
