province,unique_names,singletons,singleton_share
autre,2465766,2421349,0.981986530757582
bandundu,775347,756075,0.9751440322848995
bas-congo,288681,286281,0.9916863250439066
equateur,372464,371393,0.9971245543193437
kasai-occidental,411429,398019,0.9674062839517875
kasai-oriental,383110,372952,0.9734854219414789
katanga,818704,800541,0.9778149367781274
kinshasa,1142275,1120524,0.9809581755706813
maniema,123259,119853,0.9723671293779764
nord-kivu,386407,381238,0.9866229131459834
orientale,338730,337493,0.9963481238744722
sud-kivu,343664,337079,0.9808388425904372
