year,unique_names,singletons,singleton_share
2008,164012,145328,0.8860815062312514
2009,255294,254541,0.9970504594702578
2010,280370,279435,0.9966651210899883
2011,322315,321014,0.99596357600484
2012,319468,314410,0.9841674283496312
2013,269618,268776,0.9968770631040954
2014,328490,327278,0.996310389966209
2015,365305,3763,0.010300981371730472
2016,398523,397152,0.9965597970506094
2017,412049,410719,0.9967722285456342
2018,499610,497593,0.9959628510237986
2019,513885,512004,0.9963396479757144
2020,629642,626360,0.9947875141747216
2021,492166,33671,0.06841390912822097
2022,602653,4345,0.007209787390090152
2023,691221,679761,0.9834206426020042
