province,m,f,total,simple,complex,unique_names,unique_names_normalized,m_ratio,f_ratio,simple_ratio,complex_ratio
autre,1530087,992423,2522510,2018242,504268,2465765,2465551,0.6065732147741734,0.39342678522582664,0.800092764746225,0.19990723525377502
bandundu,496382,305370,801752,293673,508079,775347,775284,0.6191216236442192,0.38087837635578087,0.36628907692154183,0.6337109230784582
bas-congo,169699,122402,292101,269494,22607,288681,288629,0.5809600104073591,0.4190399895926409,0.9226055371258571,0.07739446287414285
equateur,265121,108525,373646,332519,41127,372464,372450,0.7095512865118321,0.2904487134881679,0.8899305759997431,0.11006942400025693
kasai-occidental,320103,117810,437913,322189,115724,411429,411380,0.7309739605812113,0.26902603941878867,0.7357374638341406,0.26426253616585943
kasai-oriental,277774,120001,397775,369505,28270,383110,383075,0.6983194016717994,0.3016805983282006,0.9289296712965872,0.07107032870341273
katanga,543810,302936,846746,698197,148548,818704,818469,0.6422350976562039,0.35776490234379615,0.8245648636072683,0.17543395540102935
kinshasa,570529,594509,1165038,1091330,73708,1142275,1142243,0.4897084901951696,0.5102915098048304,0.9367333941038833,0.0632666058961167
maniema,97669,31445,129114,70018,59096,123260,123248,0.7564555354183125,0.2435444645816875,0.542295955512183,0.457704044487817
nord-kivu,224967,167826,392793,351686,41107,386407,386372,0.572736785024173,0.427263214975827,0.8953469130050689,0.10465308699493117
orientale,216564,123588,340152,293619,46533,338730,338716,0.636668312989487,0.36333168701051294,0.8631993932124462,0.1368006067875538
sud-kivu,222041,132402,354443,214291,140152,343664,343628,0.6264505153155796,0.37354948468442034,0.604585222447615,0.395414777552385
