year,m,f,total,simple,complex,unique_names,unique_names_normalized,m_ratio,f_ratio,simple_ratio,complex_ratio
2008,115278,67798,183076,168344,14732,164012,164010,0.6296729227206188,0.37032707727938124,0.9195306867093448,0.08046931329065525
2009,171348,84864,256212,196286,59926,255294,255292,0.6687742962858882,0.33122570371411175,0.7661077545157916,0.2338922454842084
2010,190608,90928,281536,211094,70442,280370,280366,0.6770288701977722,0.32297112980222775,0.749793987269834,0.25020601273016596
2011,216895,107011,323906,233558,90348,322315,322312,0.6696232857680932,0.3303767142319068,0.7210672232067328,0.27893277679326717
2012,217107,107783,324890,246949,77941,319468,319463,0.6682477146110991,0.33175228538890084,0.7601003416540983,0.23989965834590168
2013,176261,94444,270705,209403,61302,269618,269616,0.6511183760920559,0.3488816239079441,0.7735468498919488,0.2264531501080512
2014,211911,118152,330063,254931,75132,328490,328488,0.6420319757137274,0.3579680242862726,0.7723707292244207,0.2276292707755792
2015,456623,273206,729829,559523,170306,365306,365301,0.6256575170348123,0.37434248296518774,0.7666494480213858,0.23335055197861418
2016,246542,153597,400139,318959,81180,398523,398515,0.6161408910403635,0.38385910895963654,0.7971205006260325,0.20287949937396754
2017,252718,160845,413563,330470,83093,412049,412042,0.6110749752758347,0.38892502472416535,0.7990801885081595,0.20091981149184043
2018,303193,198776,501969,406208,95761,499610,499599,0.6040074187848253,0.39599258121517467,0.8092292551930498,0.19077074480695022
2019,311569,204467,516036,422718,93318,513885,513881,0.6037737677216318,0.3962262322783682,0.8191637792712136,0.18083622072878636
2020,378949,254505,633454,521790,111664,629642,629626,0.5982265484155124,0.4017734515844876,0.8237220066492594,0.17627799335074054
2021,563006,393988,956994,790433,166561,492166,492153,0.588306718746408,0.411693281253592,0.825953976722947,0.17404602327705293
2022,713479,508719,1222198,982911,239287,602653,602640,0.5837671146573632,0.4162328853426368,0.8042158471867897,0.1957841528132103
2023,409259,300154,709413,471186,238227,691221,691159,0.5768980833449626,0.4231019166550373,0.6641913807612773,0.33580861923872274
